year,host_city,host_nations,rank,gold,silver,bronze,total
1951,New Delhi,India,2,15,16,20,51
1954,Manila,Philippines,5,5,4,8,17
1958,Tokyo,Japan,7,5,4,4,13
1962,Jakarta,Indonesia,3,10,13,10,33
1966,Bangkok,Thailand,5,7,3,11,21
1970,Bangkok,Thailand,5,6,9,10,25
1974,Tehran,Iran,7,4,12,12,28
1978,Bangkok,Thailand,6,11,11,6,28
1982,New Delhi,India,5,13,19,25,57
1986,Seoul,South Korea,5,5,9,23,37
1990,Beijing,China,11,1,8,14,23
1994,Hiroshima,Japan,8,4,3,16,23
1998,Bangkok,Thailand,9,7,11,17,35
2002,Busan,South Korea,7,11,12,13,36
2006,Doha,Qatar,8,10,17,26,53
2010,Guangzhou,China,6,14,17,34,65
2014,Incheon,South Korea,8,11,10,36,57
2018,Jakarta & Palembang,Indonesia,8,16,23,31,70
2022,Hangzhou,China,4,28,38,41,107
2026,Aichi–Nagoya,Japan,NA,NA,NA,NA,NA
2030,Doha,Qatar,NA,NA,NA,NA,NA
2034,Riyadh,Saudi Arabia,NA,NA,NA,NA,NA
