rank,nation,gold,silver,bronze,total
1,China,201,111,71,383
2,Japan,52,67,69,188
3,South Korea,42,59,89,190
4,India,28,38,41,107
5,Uzbekistan,22,18,31,71
6,Chinese Taipei,19,20,28,67
7,Iran,13,21,20,54
8,Thailand,12,14,32,58
9,Bahrain,12,3,5,20
10,North Korea,11,18,10,39
11,Kazakhstan,10,22,48,80
12,Hong Kong,8,16,29,53
13,Indonesia,7,11,18,36
14,Malaysia,6,8,18,32
15,Qatar,5,6,3,14
16,United Arab Emirates,5,5,10,20
17,Philippines,4,2,12,18
18,Kyrgyzstan,4,2,9,15
19,Saudi Arabia,4,2,4,10
20,Singapore,3,6,7,16
21,Vietnam,3,5,19,27
22,Mongolia,3,5,13,21
23,Kuwait,3,4,4,11
24,Tajikistan,2,1,4,7
25,Macau,1,3,2,6
26,Sri Lanka,1,2,2,5
27,Myanmar,1,0,2,3
28,Jordan,0,5,4,9
29,Turkmenistan,0,1,6,7
30,Afghanistan,0,1,4,5
31,Pakistan,0,1,2,3
32,Brunei,0,1,1,2
32,Nepal,0,1,1,2
32,Oman,0,1,1,2
35,Iraq,0,0,3,3
35,Laos,0,0,3,3
37,Bangladesh,0,0,2,2
38,Cambodia,0,0,1,1
38,Lebanon,0,0,1,1
38,Palestine,0,0,1,1
38,Syria,0,0,1,1
