sport,gold,silver,bronze,total
Athletics,85,102,96,283
Shooting,16,30,34,80
Wrestling,11,14,34,59
Kabaddi,11,1,1,13
Tennis,10,7,17,34
Boxing,9,16,32,57
Archery,8,7,7,22
Field hockey,5,11,7,23
Cue Sports,5,4,6,15
Equestrian,4,3,7,14
Squash,3,4,11,18
Golf,3,4,0,7
Board games,3,3,4,10
Rowing,2,7,19,28
Diving,2,1,2,5
Football,2,0,1,3
Cricket,2,0,0,2
Sailing,1,8,14,23
Badminton,1,2,10,13
Swimming,1,2,6,9
Water polo,1,1,1,3
Weightlifting,0,5,9,14
Wushu,0,2,6,8
Cycling,0,1,2,3
Volleyball,0,1,2,3
Kurash,0,1,1,2
Judo,0,0,5,5
Roller sports,0,0,4,4
Table tennis,0,0,3,3
Sepaktakraw,0,0,2,2
Canoeing,0,0,1,1
Gymnastics,0,0,1,1
Taekwondo,0,0,1,1
