Indicator Name,Indicator Code,Country Name,Country Code,Value_2022
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.534498317
Population growth (annual %),SP.POP.GROW,Albania,ALB,-1.289800065
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.628339254
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.706495481
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.994607149
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.096752671
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.581875833
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.925835474
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.377102034
Population growth (annual %),SP.POP.GROW,Aruba,ABW,-0.086392283
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.125898518
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.963774922
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.366922376
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.508137884
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,0.611005553
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.074836743
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.15457464
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-1.014352055
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.657664577
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.301640251
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.702041089
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.36450518
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.637077531
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.190274813
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.150513985
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.604757743
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.459583548
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.58628646
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,0.811520876
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-6.187252982
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.559988391
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.66016084
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,0.884624345
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.072167381
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.598102588
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.823370422
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,0.833082382
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2.210795117
