country_name,members,postcards_sent,sp_pop_totl,prop_members,postcard_per_mem,sp_pop_grow,se_adt_litr_zs,se_prm_cmpt_zs,sp_pop_1564_to_zs,sp_pop_65up_to_zs,sp_pop_0014_to_zs,pc_pop_estimate,pop_check
Afghanistan,7,264,41128771,1.70E-07,37.71428571,2.534498317,NA,NA,54.47502674,2.394339719,43.13063354,37172386,0.90380493
Albania,8,1217,2775634,2.88E-06,152.125,-1.289800065,NA,NA,67.19819823,16.6551913,16.14661046,2866376,1.032692351
Algeria,171,12996,44903225,3.81E-06,76,1.628339254,NA,NA,62.96896715,6.387786178,30.64324667,42228429,0.940431985
American Samoa,0,19,44273,0,Inf,-1.706495481,NA,NA,65.59037777,7.262973629,27.1466486,55465,1.252795157
Andorra,15,1411,79824,1.88E-04,94.06666667,0.994607149,NA,NA,72.2370465,14.96792944,12.79502405,77006,0.964697334
Angola,2,62,35588987,5.62E-08,31,3.096752671,NA,NA,52.38481359,2.600055742,45.01513066,30809762,0.865710564
Antigua and Barbuda,6,317,93763,6.40E-05,52.83333333,0.581875833,NA,NA,70.83444429,10.61826093,18.54729478,96286,1.026908269
Argentina,525,19798,46234830,1.14E-05,37.71047619,0.925835474,NA,NA,65.02834039,11.91832806,23.05333155,44494502,0.96235894
Armenia,101,10560,2780469,3.63E-05,104.5544554,-0.377102034,NA,NA,66.37394627,13.14828542,20.47776832,2951776,1.061610829
Aruba,10,596,106445,9.39E-05,59.6,-0.086392283,NA,NA,67.61707924,16.14213913,16.24078162,105845,0.994363286
Australia,6289,830657,25978935,2.42E-04,132.080935,1.125898518,NA,NA,64.91786899,16.90208431,18.1800467,24992369,0.962024386
Austria,3348,652090,9042528,3.70E-04,194.7700119,0.963774922,NA,NA,65.81487775,19.80702865,14.3780936,8847037,0.978380935
Azerbaijan,115,7873,10175016,1.13E-05,68.46086957,0.366922376,NA,NA,69.41208858,7.107653411,23.48025801,9942334,0.977132026
"Bahamas, The",18,5399,409984,4.39E-05,299.9444444,0.508137884,NA,NA,72.04610424,8.891200632,19.06269513,385640,0.940622073
Bahrain,27,3078,1472233,1.83E-05,114,0.611005553,NA,NA,76.05769603,3.755587601,20.18671637,1569439,1.066026234
Bangladesh,92,6620,171186372,5.37E-07,71.95652174,1.074836743,NA,NA,67.9864231,6.044418343,25.96915856,161356039,0.942575259
Barbados,10,1012,281635,3.55E-05,101.2,0.15457464,NA,NA,66.79869334,16.2763861,16.92492055,286641,1.017774779
Belarus,31772,2717290,9208701,0.003450215,85.52467582,-1.014352055,NA,NA,66.03972258,17.18442914,16.77584827,9485386,1.03004604
Belgium,5355,822216,11669446,4.59E-04,153.5417367,0.657664577,NA,NA,63.7372908,19.72909498,16.53361422,11422068,0.978801222
Belize,29,2114,405272,7.16E-05,72.89655172,1.301640251,NA,NA,67.1740619,5.086824297,27.73911381,383071,0.945219507
Benin,5,115,13352864,3.74E-07,23,2.702041089,NA,NA,54.50441568,3.064578505,42.43100581,11485048,0.860118698
Bermuda,14,1756,63532,2.20E-04,125.4285714,-0.36450518,NA,NA,64.88532968,20.40851303,14.7061573,63968,1.006862683
Bhutan,6,66,782455,7.67E-06,11,0.637077531,NA,NA,71.60303148,6.253842074,22.14312644,754394,0.964137235
Bolivia,22,413,12224110,1.80E-06,18.77272727,1.190274813,NA,NA,64.32258054,4.849874551,30.82754491,11353142,0.928749987
Bosnia and Herzegovina,156,11293,3233526,4.82E-05,72.39102564,-1.150513985,NA,NA,66.73092056,18.39980282,14.86927662,3323929,1.027958025
Botswana,6,229,2630296,2.28E-06,38.16666667,1.604757743,NA,NA,63.74288293,3.654037416,32.60307965,2254126,0.856985678
Brazil,7523,519605,215313498,3.49E-05,69.06885551,0.459583548,NA,NA,69.85198137,9.876709169,20.27130947,209469333,0.972857415
Bulgaria,1722,153143,6465097,2.66E-04,88.93321719,-6.187252982,NA,NA,63.62620767,22.37788289,13.99590944,7000039,1.082743074
Burkina Faso,0,721,22673762,0,Inf,2.559988391,NA,NA,53.74359138,2.533419465,43.72298915,19751535,0.871118564
Burundi,0,53,12889576,0,Inf,2.66016084,NA,NA,51.746576,2.481982244,45.77144175,11175378,0.867008969
Cabo Verde,5,1130,593149,8.43E-06,226,0.884624345,NA,NA,68.27005671,5.550792844,26.17915045,543767,0.916746045
Cambodia,17,1532,16767842,1.01E-06,90.11764706,1.072167381,NA,NA,65.24548701,5.805860235,28.94865276,16249798,0.969104909
Cameroon,4,494,27914536,1.43E-07,123.5,2.598102588,NA,NA,55.12070745,2.668464511,42.21082804,25216237,0.903337136
Canada,11010,1280048,38929902,2.83E-04,116.262307,1.823370422,NA,NA,65.38859333,19.0343118,15.57709487,37058856,0.951938076
Cayman Islands,7,418,68706,1.02E-04,59.71428571,0.833082382,NA,NA,75.07404793,8.161646448,16.76430562,64174,0.934037784
Central African Republic,0,1014,5579144,0,Inf,2.210795117,NA,NA,49.35392861,2.511156058,48.13491533,4666377,0.836396587
Chad,1,50,17723315,5.64E-08,50,3.115022186,NA,NA,50.48247888,2.008289702,47.50923141,15477751,0.873298872
Chile,536,25980,19603733,2.73E-05,48.47014925,0.565514128,NA,NA,68.65021575,13.03108444,18.31869981,18729160,0.955387425
China,72129,2982052,1412175000,5.11E-05,41.34331545,-0.013099501,NA,NA,69.03102566,13.72233545,17.24663889,1411778724,0.999719386
Colombia,72,1382,51874024,1.39E-06,19.19444444,0.691481571,NA,NA,69.65804793,8.999017504,21.34293457,49648685,0.957101092
Comoros,0,1,836774,0,Inf,1.82699355,NA,NA,57.68651851,4.278338164,38.03514332,832322,0.994679567
Costa Rica,143,9699,5180829,2.76E-05,67.82517483,0.520031292,NA,NA,68.98462582,10.82589292,20.18948126,4999441,0.964988615
Croatia,724,96386,3854000,1.88E-04,133.1298343,-0.646581847,NA,NA,63.56057744,22.35578358,14.08363898,4089400,1.061079398
Cuba,48,4058,11212191,4.28E-06,84.54166667,-0.393269983,NA,NA,68.47046666,15.80883701,15.72069634,11338138,1.011233041
Cyprus,161,23132,1251488,1.29E-04,143.6770186,0.585013505,NA,NA,69.24182683,14.82906155,15.92911161,1189265,0.950280786
Czechia,21956,1884859,10526073,0.002085868,85.8471033,0.19305017,NA,NA,63.40407258,20.64345235,15.95247507,10625695,1.009464308
Denmark,527,69205,5903037,8.93E-05,131.3187856,0.787502465,NA,NA,63.45332488,20.48695047,16.05972465,5797446,0.982112428
Djibouti,0,99,1120849,0,Inf,1.373715349,NA,NA,65.07163992,4.535938621,30.39242146,958920,0.855530049
Dominica,2,75,72737,2.75E-05,37.5,0.447816441,NA,NA,70.84722461,9.523285788,19.6294896,71625,0.984712045
Dominican Republic,56,2891,11228821,4.99E-06,51.625,0.992978305,NA,NA,65.48740959,7.404383773,27.10820664,10627165,0.946418596
Ecuador,35,3391,18001000,1.94E-06,96.88571429,1.135599752,NA,NA,66.4784762,7.828426199,25.69309761,17084357,0.949078218
Arab Republic of Egypt,68,4135,110990103,6.13E-07,60.80882353,1.56907383,NA,NA,62.3052359,4.83381703,32.86094707,98423595,0.886778121
El Salvador,20,1367,6336392,3.16E-06,68.35,0.351368234,NA,NA,66.36337367,8.221200645,25.41542569,6420744,1.013312308
Equatorial Guinea,0,14,1674908,0,Inf,2.44420929,NA,NA,58.38404259,3.124738792,38.49121862,1308974,0.78151994
Eritrea,6,38,3684032,1.63E-06,6.333333333,1.74475946,NA,NA,56.79019031,4.013252873,39.19655682,6209262,1.685452787
