Country Name,Country Code,Indicator Name,Indicator Code,Value_2022
Aruba,ABW,Population growth (annual %),SP.POP.GROW,-0.086392283
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,2.540937372
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.534498317
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,2.539799442
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.096752671
Albania,ALB,Population growth (annual %),SP.POP.GROW,-1.289800065
Andorra,AND,Population growth (annual %),SP.POP.GROW,0.994607149
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.78833854
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,0.808075151
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.925835474
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.377102034
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.706495481
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.581875833
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.125898518
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.963774922
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.366922376
Burundi,BDI,Population growth (annual %),SP.POP.GROW,2.66016084
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.657664577
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.702041089
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.559988391
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.074836743
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-6.187252982
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,0.611005553
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.508137884
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.150513985
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-1.014352055
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.301640251
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.36450518
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.190274813
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.459583548
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.15457464
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,0.811520876
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,0.637077531
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.604757743
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,2.210795117
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.823370422
