Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.395300155
Afghanistan,AFG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Afghanistan,AFG,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..
Afghanistan,AFG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Afghanistan,AFG,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,43.13063354
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.47502674
Afghanistan,AFG,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.394339719
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Albania,ALB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,24.78516773
Albania,ALB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Albania,ALB,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Albania,ALB,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Albania,ALB,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Albania,ALB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,52.353
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,6802.804519
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.205275394
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18551.71648
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18210
Albania,ALB,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Albania,ALB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,16.14661046
Albania,ALB,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,67.19819823
Albania,ALB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,16.6551913
Algeria,DZA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Algeria,DZA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.14434009
Algeria,DZA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Algeria,DZA,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Algeria,DZA,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Algeria,DZA,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Algeria,DZA,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,35.895
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4273.922183
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.434776765
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13209.59677
Algeria,DZA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,12930
Algeria,DZA,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Algeria,DZA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Algeria,DZA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.64324667
Algeria,DZA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,62.96896715
